ip,name
66.51.206.100,got it from https://public-dns.info/nameservers-all.txt
69.60.160.196,got it from https://public-dns.info/nameservers-all.txt
69.7.192.2,got it from https://public-dns.info/nameservers-all.txt
82.151.90.1,got it from https://public-dns.info/nameservers-all.txt
082.216.111.121,got it from https://public-dns.info/nameservers-all.txt
83.143.8.249,got it from https://public-dns.info/nameservers-all.txt
085.119.136.158,got it from https://public-dns.info/nameservers-all.txt
139.130.4.4,got it from https://public-dns.info/nameservers-all.txt
142.103.1.1,got it from https://public-dns.info/nameservers-all.txt
142.46.1.130,got it from https://public-dns.info/nameservers-all.txt
142.46.128.130,got it from https://public-dns.info/nameservers-all.txt
148.233.151.8,got it from https://public-dns.info/nameservers-all.txt
158.43.128.1,got it from https://public-dns.info/nameservers-all.txt
158.43.192.1,got it from https://public-dns.info/nameservers-all.txt
158.43.240.3,got it from https://public-dns.info/nameservers-all.txt
168.126.63.1,got it from https://public-dns.info/nameservers-all.txt
168.126.63.2,got it from https://public-dns.info/nameservers-all.txt
168.95.1.1,got it from https://public-dns.info/nameservers-all.txt
170.56.58.53,got it from https://public-dns.info/nameservers-all.txt
193.226.61.1,got it from https://public-dns.info/nameservers-all.txt
193.67.79.39,got it from https://public-dns.info/nameservers-all.txt
193.78.240.12,got it from https://public-dns.info/nameservers-all.txt
193.79.242.39,got it from https://public-dns.info/nameservers-all.txt
194.179.1.100,got it from https://public-dns.info/nameservers-all.txt
194.179.1.101,got it from https://public-dns.info/nameservers-all.txt
195.113.144.194,got it from https://public-dns.info/nameservers-all.txt
195.129.12.122,got it from https://public-dns.info/nameservers-all.txt
195.27.1.1,got it from https://public-dns.info/nameservers-all.txt
195.99.66.220,got it from https://public-dns.info/nameservers-all.txt
198.82.247.34,got it from https://public-dns.info/nameservers-all.txt
199.166.6.2,got it from https://public-dns.info/nameservers-all.txt
199.249.18.1,got it from https://public-dns.info/nameservers-all.txt
199.249.19.1,got it from https://public-dns.info/nameservers-all.txt
200.221.11.101,got it from https://public-dns.info/nameservers-all.txt
200.56.224.11,got it from https://public-dns.info/nameservers-all.txt
200.94.26.115,got it from https://public-dns.info/nameservers-all.txt
202.130.97.65,got it from https://public-dns.info/nameservers-all.txt
202.181.224.2,got it from https://public-dns.info/nameservers-all.txt
202.44.144.33,got it from https://public-dns.info/nameservers-all.txt
202.44.204.36,got it from https://public-dns.info/nameservers-all.txt
203.112.2.5,got it from https://public-dns.info/nameservers-all.txt
203.115.130.72,got it from https://public-dns.info/nameservers-all.txt
203.115.130.74,got it from https://public-dns.info/nameservers-all.txt
203.119.36.106,got it from https://public-dns.info/nameservers-all.txt
203.119.8.106,got it from https://public-dns.info/nameservers-all.txt
203.144.207.29,got it from https://public-dns.info/nameservers-all.txt
203.144.207.49,got it from https://public-dns.info/nameservers-all.txt
203.146.237.237,got it from https://public-dns.info/nameservers-all.txt
203.198.7.66,got it from https://public-dns.info/nameservers-all.txt
203.239.131.1,got it from https://public-dns.info/nameservers-all.txt
203.253.31.1,got it from https://public-dns.info/nameservers-all.txt
203.50.2.71,got it from https://public-dns.info/nameservers-all.txt
204.95.160.4,got it from https://public-dns.info/nameservers-all.txt
206.123.64.245,got it from https://public-dns.info/nameservers-all.txt
206.124.65.253,got it from https://public-dns.info/nameservers-all.txt
206.253.33.130,got it from https://public-dns.info/nameservers-all.txt
207.217.126.81,got it from https://public-dns.info/nameservers-all.txt
207.69.188.171,got it from https://public-dns.info/nameservers-all.txt
207.69.188.172,got it from https://public-dns.info/nameservers-all.txt
207.69.188.185,got it from https://public-dns.info/nameservers-all.txt
207.69.188.186,got it from https://public-dns.info/nameservers-all.txt
207.69.188.187,got it from https://public-dns.info/nameservers-all.txt
208.72.120.204,got it from https://public-dns.info/nameservers-all.txt
210.180.98.69,got it from https://public-dns.info/nameservers-all.txt
210.23.129.34,got it from https://public-dns.info/nameservers-all.txt
210.80.58.3,got it from https://public-dns.info/nameservers-all.txt
211.41.128.71,got it from https://public-dns.info/nameservers-all.txt
211.63.64.11,got it from https://public-dns.info/nameservers-all.txt
212.36.24.3,got it from https://public-dns.info/nameservers-all.txt
212.36.64.17,got it from https://public-dns.info/nameservers-all.txt
212.49.128.65,got it from https://public-dns.info/nameservers-all.txt
212.59.199.6,got it from https://public-dns.info/nameservers-all.txt
212.73.140.66,got it from https://public-dns.info/nameservers-all.txt
212.94.32.32,got it from https://public-dns.info/nameservers-all.txt
213.0.77.5,got it from https://public-dns.info/nameservers-all.txt
216.131.94.5,got it from https://public-dns.info/nameservers-all.txt
216.254.141.13,got it from https://public-dns.info/nameservers-all.txt
216.52.169.1,got it from https://public-dns.info/nameservers-all.txt
216.52.41.1,got it from https://public-dns.info/nameservers-all.txt
216.52.94.33,got it from https://public-dns.info/nameservers-all.txt
217.173.198.3,got it from https://public-dns.info/nameservers-all.txt
217.66.226.8,got it from https://public-dns.info/nameservers-all.txt
217.77.71.1,got it from https://public-dns.info/nameservers-all.txt
217.77.71.33,got it from https://public-dns.info/nameservers-all.txt
218.102.23.228,got it from https://public-dns.info/nameservers-all.txt
218.232.110.36,got it from https://public-dns.info/nameservers-all.txt
219.252.1.100,got it from https://public-dns.info/nameservers-all.txt
2001:b08:2:280::4:1,got it from https://public-dns.info/nameservers-all.txt
